ID,DeviceID,Gas_ReceiveDateTime,Gas_CO2,Gas_CO,Gas_NO2,Gas_O3,Gas_SO2,Gas_PM2_5,Gas_PM10,Gas_Temp,Gas_RH,Gas_h2s,Gas_nh3,Gas_noise,AlertID,Gas_AQI,Gas_AQI_US,Gas_PM1,Gas_TVOC,Battery
74227,635,2024-08-01 00:01:55,451,1.18,0.01,0.0,9.999,41,47,26.3,89.3,,,37,,68,,41,0.022,94.0
74228,635,2024-08-01 00:06:56,457,1.16,0.011,0.0,9.999,43,50,26.3,89.3,,,37,,72,,42,0.022,94.0
74229,635,2024-08-01 00:11:57,453,1.17,0.011,0.001,9.999,40,45,26.3,89.3,,,38,,67,,39,0.022,94.0
74230,635,2024-08-01 00:16:59,453,1.17,0.008,0.001,9.999,39,46,26.3,89.3,,,39,,65,,38,0.022,94.0
74231,635,2024-08-01 00:21:40,453,1.18,0.01,0.001,9.999,37,42,26.3,89.3,,,45,,62,,37,0.023,94.0
74232,635,2024-08-01 00:26:40,453,1.16,0.011,0.0,9.999,40,47,26.3,89.3,,,37,,67,,39,0.023,94.0
74233,635,2024-08-01 00:31:42,457,1.16,0.011,0.0,9.999,39,47,26.3,89.3,,,37,,65,,39,0.023,94.0
74234,635,2024-08-01 00:36:43,457,1.18,0.011,0.001,9.999,40,45,26.3,89.3,,,37,,67,,39,0.023,94.0
74235,635,2024-08-01 00:41:44,467,1.18,0.009,0.001,9.999,36,41,26.3,89.3,,,37,,60,,36,0.023,94.0
74236,635,2024-08-01 00:46:45,463,1.16,0.008,0.001,9.999,37,42,26.3,89.3,,,38,,62,,37,0.023,94.0
74237,635,2024-08-01 00:51:46,463,1.16,0.008,0.0,9.999,37,45,26.3,89.3,,,37,,62,,37,0.023,94.0
74238,635,2024-08-01 00:56:47,457,1.16,0.009,0.0,9.999,35,40,26.3,89.3,,,38,,58,,35,0.023,94.0
74239,635,2024-08-01 01:01:48,463,1.15,0.009,0.001,9.999,34,39,26.3,89.3,,,38,,57,,34,0.023,94.0
74240,635,2024-08-01 01:06:49,461,1.15,0.01,0.001,9.999,34,41,26.3,89.3,,,39,,57,,34,0.023,94.0
74241,635,2024-08-01 01:11:50,463,1.16,0.01,0.001,9.999,34,40,26.3,89.3,,,40,,57,,33,0.023,94.0
74242,635,2024-08-01 01:16:51,455,1.14,0.01,0.0,9.999,33,37,26.3,89.3,,,42,,55,,32,0.024,94.0
74243,635,2024-08-01 01:21:52,459,1.13,0.01,0.0,9.999,33,40,26.3,89.3,,,43,,55,,33,0.024,94.0
74244,635,2024-08-01 01:26:54,461,1.15,0.006,0.001,9.999,32,38,26.3,89.3,,,38,,53,,31,0.024,94.0
74245,635,2024-08-01 01:31:55,455,1.14,0.007,0.001,9.999,31,35,26.3,89.3,,,37,,52,,31,0.024,94.0
74246,635,2024-08-01 01:36:56,461,1.13,0.008,0.001,9.999,31,35,26.3,89.3,,,37,,52,,30,0.024,94.0
74247,635,2024-08-01 01:41:57,459,1.12,0.008,0.001,9.999,34,38,26.3,89.3,,,38,,57,,33,0.024,94.0
74248,635,2024-08-01 01:46:58,455,1.12,0.008,0.0,9.999,32,38,26.3,89.3,,,37,,53,,31,0.024,94.0
74249,635,2024-08-01 01:51:59,467,1.12,0.008,0.001,9.999,30,33,26.3,89.3,,,37,,50,,29,0.023,94.0
74250,635,2024-08-01 01:57:00,465,1.12,0.008,0.001,9.999,30,38,26.3,89.3,,,38,,50,,28,0.024,94.0
74251,635,2024-08-01 02:02:01,461,1.11,0.008,0.001,9.999,32,41,26.3,89.3,,,38,,53,,30,0.024,94.0
74252,635,2024-08-01 02:07:02,469,1.11,0.008,0.001,9.999,28,33,26.3,89.3,,,38,,47,,27,0.024,94.0
74253,635,2024-08-01 02:12:03,463,1.11,0.008,0.0,9.999,29,33,26.3,89.3,,,38,,48,,28,0.024,94.0
74254,635,2024-08-01 02:17:05,463,1.1,0.008,0.001,9.999,29,35,26.3,89.3,,,39,,48,,29,0.024,94.0
74255,635,2024-08-01 02:22:06,463,1.09,0.007,0.001,9.999,34,41,26.3,89.3,,,41,,57,,33,0.024,94.0
74256,635,2024-08-01 02:27:07,469,1.09,0.001,0.001,9.999,31,37,26.3,89.3,,,43,,52,,30,0.024,94.0
74257,635,2024-08-01 02:32:08,467,1.08,0.007,0.001,9.999,30,37,26.3,89.3,,,44,,50,,30,0.024,94.0
74258,635,2024-08-01 02:37:09,467,1.08,0.007,0.0,9.999,28,34,26.3,89.3,,,37,,47,,28,0.024,94.0
74259,635,2024-08-01 02:42:10,467,1.08,0.008,0.001,9.999,26,29,26.3,89.3,,,37,,43,,25,0.024,94.0
74260,635,2024-08-01 02:47:11,463,1.08,0.006,0.001,9.999,26,32,26.3,89.3,,,38,,43,,25,0.024,94.0
74261,635,2024-08-01 02:52:12,465,1.09,0.006,0.001,9.999,28,33,26.3,89.3,,,37,,47,,27,0.024,94.0
74262,635,2024-08-01 02:57:13,461,1.09,0.008,0.0,9.999,28,37,26.3,89.3,,,37,,47,,27,0.023,94.0
74263,635,2024-08-01 03:02:15,461,1.08,0.002,0.0,9.999,25,31,26.3,89.3,,,37,,42,,25,0.023,94.0
74264,635,2024-08-01 03:07:16,469,1.06,0.006,0.0,9.999,26,31,26.3,89.3,,,37,,43,,25,0.023,94.0
74265,635,2024-08-01 03:12:17,467,1.07,0.0,0.001,9.999,27,32,26.3,89.3,,,38,,45,,25,0.024,94.0
74266,635,2024-08-01 03:17:18,469,1.08,0.001,0.001,9.999,23,28,26.3,89.3,,,38,,38,,22,0.024,94.0
74267,635,2024-08-01 03:22:19,461,1.06,0.001,0.001,9.999,26,34,26.3,89.3,,,39,,43,,25,0.024,94.0
74268,635,2024-08-01 03:27:20,465,1.06,0.0,0.0,9.999,23,28,26.3,89.3,,,41,,38,,22,0.024,94.0
74269,635,2024-08-01 03:32:22,465,1.06,0.0,0.0,9.999,25,33,26.3,89.3,,,42,,42,,23,0.025,94.0
74270,635,2024-08-01 03:37:23,463,1.06,0.0,0.001,9.999,21,26,26.3,89.3,,,45,,35,,21,0.025,94.0
74271,635,2024-08-01 03:42:24,459,1.07,0.0,0.0,9.999,23,27,26.3,89.3,,,37,,38,,23,0.025,94.0
74272,635,2024-08-01 03:47:25,465,1.07,0.001,0.001,9.999,24,29,26.3,89.3,,,37,,40,,23,0.025,94.0
74273,635,2024-08-01 03:52:26,469,1.06,0.0,0.0,9.999,21,26,26.3,89.3,,,38,,35,,20,0.025,94.0
74274,635,2024-08-01 03:57:27,471,1.06,0.001,0.0,9.999,22,27,26.3,89.3,,,37,,37,,21,0.025,94.0
74275,635,2024-08-01 04:02:28,463,1.08,0.0,0.001,9.999,24,29,26.3,89.3,,,37,,40,,23,0.025,94.0
74276,635,2024-08-01 04:07:30,465,1.08,0.0,0.001,9.999,22,28,26.3,89.3,,,37,,37,,22,0.025,94.0
74277,635,2024-08-01 04:12:31,465,1.06,0.001,0.001,9.999,22,25,26.3,89.3,,,37,,37,,21,0.025,94.0
74278,635,2024-08-01 04:17:32,463,1.08,0.0,0.0,9.999,22,28,26.3,89.3,,,37,,37,,21,0.025,94.0
74279,635,2024-08-01 04:22:13,461,1.06,0.0,0.0,9.999,22,28,26.3,89.3,,,39,,37,,21,0.025,94.0
74280,635,2024-08-01 04:27:34,461,1.06,0.001,0.001,9.999,23,28,26.3,89.3,,,38,,38,,22,0.025,94.0
74281,635,2024-08-01 04:32:15,461,1.06,0.0,0.001,9.999,21,26,26.3,89.3,,,42,,35,,21,0.026,94.0
74282,635,2024-08-01 04:37:16,467,1.06,0.001,0.001,9.999,20,25,26.3,89.3,,,42,,33,,19,0.026,94.0
74283,635,2024-08-01 04:42:18,465,1.05,0.0,0.0,9.999,20,25,26.3,89.3,,,43,,33,,19,0.026,94.0
74284,635,2024-08-01 04:47:19,463,1.06,0.0,0.0,9.999,21,28,26.3,89.3,,,40,,35,,19,0.026,94.0
74285,635,2024-08-01 04:52:20,467,1.05,0.001,0.001,9.999,22,30,26.3,89.3,,,37,,37,,21,0.026,94.0
74286,635,2024-08-01 04:57:21,463,1.06,0.0,0.001,9.999,23,30,26.3,89.3,,,37,,38,,22,0.027,94.0
74287,635,2024-08-01 05:02:22,469,1.06,0.001,0.0,9.999,22,27,26.3,89.3,,,37,,37,,21,0.027,94.0
74288,635,2024-08-01 05:07:23,455,1.06,0.001,0.001,9.999,23,31,26.3,89.3,,,37,,38,,22,0.027,94.0
74289,635,2024-08-01 05:12:24,465,1.06,0.001,0.0,9.999,25,35,26.3,89.3,,,37,,42,,23,0.027,94.0
74290,635,2024-08-01 05:17:26,465,1.07,0.001,0.001,9.999,21,28,26.3,89.3,,,38,,35,,20,0.027,94.0
74291,635,2024-08-01 05:22:27,465,1.06,0.0,0.001,9.999,39,61,26.3,89.3,,,38,,65,,34,0.027,94.0
74292,635,2024-08-01 05:27:28,461,1.07,0.006,0.001,9.999,36,57,26.3,89.3,,,37,,60,,32,0.027,94.0
74293,635,2024-08-01 05:32:29,463,1.08,0.006,0.001,9.999,28,43,26.3,89.3,,,38,,47,,25,0.027,94.0
74294,635,2024-08-01 05:37:30,471,1.08,0.003,0.0,9.999,26,39,26.3,89.3,,,38,,43,,24,0.028,94.0
74295,635,2024-08-01 05:42:32,463,1.08,0.004,0.001,9.999,26,39,26.3,89.3,,,39,,43,,24,0.028,94.0
74296,635,2024-08-01 05:47:33,469,1.08,0.0,0.001,9.999,26,36,26.3,89.3,,,40,,43,,24,0.028,94.0
74297,635,2024-08-01 05:52:34,469,1.08,0.0,0.001,9.999,22,30,26.3,89.3,,,42,,37,,21,0.027,94.0
74298,635,2024-08-01 05:57:35,461,1.08,0.004,0.0,9.999,22,31,26.3,89.3,,,43,,37,,20,0.027,94.0
74299,635,2024-08-01 06:02:36,461,1.07,0.005,0.0,9.999,20,27,26.3,89.3,,,44,,33,,18,0.027,94.0
74300,635,2024-08-01 06:07:37,459,1.08,0.007,0.0,9.999,23,30,26.3,89.3,,,37,,38,,21,0.027,94.0
74301,635,2024-08-01 06:12:38,463,1.09,0.007,0.001,9.999,19,24,26.3,89.3,,,37,,32,,18,0.027,94.0
74302,635,2024-08-01 06:17:40,467,1.09,0.007,0.001,9.999,21,28,26.3,89.3,,,37,,35,,20,0.027,94.0
74303,635,2024-08-01 06:22:41,463,1.08,0.001,0.0,9.999,21,28,26.3,89.3,,,38,,35,,20,0.027,94.0
